QuestionID,カテゴリ番号,属性ペア,うわさの内容,interest_データ数,interest_平均値,interest_SD,AOI_データ数,AOI_平均値,AOI_SD,privacy_データ数,privacy_平均値,privacy_SD,polarity_データ数,polarity_平均値,polarity_SD
25.0,26,M2-F2,Aさんは仕事でプレゼンテーションをしている,12,3.25,1.712255291076124,12,2.4166666666666665,1.2401124093721456,12,2.4166666666666665,1.378954368902449,12,4.833333333333333,0.937436866561092
25.0,26,M3-F3,Aさんは仕事でプレゼンテーションをしている,12,3.4166666666666665,0.996204919895622,12,2.8333333333333335,1.1146408580454255,12,2.75,1.4222261679238197,12,4.583333333333333,0.9962049198956218
25.0,26,M4-F4,Aさんは仕事でプレゼンテーションをしている,12,3.9166666666666665,0.90033663737852,12,2.8333333333333335,1.2673044646258476,12,3.1666666666666665,1.5275252316519468,12,5.166666666666667,0.9374368665610923
25.0,27,M1-F1,Aさんは1m40cmのシーバスを釣った,12,4.416666666666667,1.97522534195852,12,6.166666666666667,1.0298573010888745,11,3.090909090909091,2.0225995873897262,12,5.75,0.9653072991634227
25.0,27,M2-F2,Aさんは1m40cmのシーバスを釣った,12,3.6666666666666665,1.8748737331221843,12,5.75,1.5447859516333116,12,3.0,1.8090680674665818,12,6.333333333333333,0.6513389472789295
25.0,27,M3-F3,Aさんは1m40cmのシーバスを釣った,12,4.833333333333333,1.80067327475704,12,5.916666666666667,1.5642792899510296,12,2.3333333333333335,1.3026778945578592,12,6.166666666666667,0.937436866561092
25.0,27,M4-F4,Aさんは1m40cmのシーバスを釣った,12,4.583333333333333,1.5050420310248862,12,5.25,1.6583123951777,12,2.9166666666666665,1.6764862244009227,12,6.166666666666667,0.8348471099367217
25.0,28,M1-F1,Aさんはジムトレーニングを始めた,12,4.75,1.1381803659589922,12,2.6666666666666665,0.9847319278346621,12,3.4166666666666665,1.7816403745544227,12,5.416666666666667,0.6685579234215215
25.0,28,M2-F2,Aさんはジムトレーニングを始めた,12,4.166666666666667,1.2673044646258478,12,2.5833333333333335,0.90033663737852,12,3.3333333333333335,1.775250729197189,12,5.75,0.45226701686664544
25.0,28,M3-F3,Aさんはジムトレーニングを始めた,12,4.583333333333333,1.7298624923456323,12,2.6666666666666665,1.497472618255253,12,2.4166666666666665,1.0836246694508316,12,5.916666666666667,0.5149286505444373
25.0,28,M4-F4,Aさんはジムトレーニングを始めた,12,4.333333333333333,0.8876253645985945,12,2.9166666666666665,1.2401124093721454,12,2.9166666666666665,1.0836246694508318,12,5.833333333333333,0.5773502691896257
25.0,29,M1-F1,Aさんはピアノを弾くのが苦手,12,2.5,1.3142574813455419,12,2.0,0.9534625892455924,12,3.5833333333333335,1.8319554050414564,12,2.6666666666666665,0.6513389472789296
